"a","e","h","s","g","l","m","label","phrase"
0.142857142857143,0,0,0,0,0.142857142857143,0,"S","Act blur"
0.5,0,0,0,0.25,0,0,"S","Agak agak"
0.2,0,0.2,0,0,0,0,"S","Aiyoh"
0.5,0,0,0,0,0.166666666666667,0.166666666666667,"S","Alamak"
0.2,0,0,0,0,0,0,"S","Arrow"
0.5,0,0,0.25,0,0,0,"S","Atas"
0.166666666666667,0,0.166666666666667,0,0,0,0,"S","Bo chap"
0,0,0,0,0,0,0,"S","Bo jio"
0.166666666666667,0,0,0,0,0.166666666666667,0,"S","Bo liao"
0,0.2,0.2,0,0,0.2,0,"S","Boleh"
0.125,0,0,0,0,0,0,"S","Can or not"
0.181818181818182,0,0.0909090909090909,0,0,0.181818181818182,0,"S","Catch no ball"
0,0.4,0.2,0,0,0,0.2,"S","Cheem"
0,0,0.166666666666667,0,0.166666666666667,0,0,"S","Chiong"
0,0.2,0.2,0,0,0,0,"S","Chope"
0,0,0,0,0,0,0.333333333333333,"S","CMI"
0.0625,0.0625,0,0,0,0.0625,0.0625,"S","Come, I clap for you"
0.25,0,0,0,0,0,0.25,"S","Diam"
0,0.153846153846154,0,0.0769230769230769,0,0,0.0769230769230769,"S","Die die must try"
0,0.5,0.5,0,0,0,0,"S","Eh"
0,0.375,0,0,0,0,0,"S","Eye power"
0.125,0.125,0.125,0,0.25,0,0,"S","Geh kiang"
0.25,0,0.25,0,0,0,0,"S","Huat"
0.333333333333333,0,0,0,0,0.166666666666667,0,"S","Jialat"
0.166666666666667,0,0.166666666666667,0,0,0,0,"S","Kaypoh"
0.2,0,0,0.2,0,0,0,"S","Kiasu"
0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,"S","Lah"
0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,"S","Leh"
0.2,0.2,0,0,0,0.2,0,"S","Lepak"
0.166666666666667,0,0,0,0.166666666666667,0.166666666666667,0,"S","Lobang"
0,0,0,0,0,0.333333333333333,0,"S","Lor"
0.4,0,0,0,0,0,0.2,"S","Makan"
0.333333333333333,0,0,0,0,0,0,"S","Nia"
0.0625,0.125,0,0,0.0625,0,0.0625,"S","Own time own target"
0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0,"S","Paiseh"
0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0,"S","Pang seh"
0,0.142857142857143,0,0,0.142857142857143,0,0,"S","Ponteng"
0.25,0,0,0.25,0,0,0,"S","Sabo"
0.25,0,0.25,0.25,0.25,0,0,"S","Shag"
0,0,0.2,0.2,0,0,0,"S","Shiok"
0.25,0,0,0.25,0,0,0,"S","Sian"
0.25,0,0,0.25,0,0,0,"S","Siao"
0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,"S","Spoil market"
0.166666666666667,0.166666666666667,0,0.166666666666667,0,0,0,"S","Steady"
0,0.5,0,0.25,0,0,0,"S","Swee"
0.333333333333333,0,0.111111111111111,0,0,0,0,"S","Buay tahan"
0.4,0,0,0,0,0,0,"S","Tapao"
0,0,0,0,0.166666666666667,0.166666666666667,0,"S","Tolong"
0,0,0,0,0,0.333333333333333,0,"S","Ulu"
0.333333333333333,0,0,0,0.166666666666667,0,0,"S","Wayang"
0,0.2,0.2,0.1,0,0,0,"S","White horse"
0.5,0,0,0,0,0,0,"S","Yaya papaya"
0,0,0.25,0,0.25,0,0,"S","Zhng"
0.25,0,0,0,0,0,0,"A","Arvo"
0.166666666666667,0.166666666666667,0,0.25,0,0.0833333333333333,0,"A","Aussie Salute"
0.333333333333333,0,0,0,0,0,0,"A","Avo"
0.25,0,0,0,0,0.25,0,"A","Bail"
0.166666666666667,0.166666666666667,0,0,0,0,0,"A","Barbie"
0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0,"A","Bathers"
0.166666666666667,0.166666666666667,0,0,0,0,0,"A","Beauty"
0.111111111111111,0,0,0,0.111111111111111,0.222222222222222,0,"A","Billabong"
0,0,0,0,0,0.4,0,"A","Billy"
0,0.142857142857143,0,0,0.142857142857143,0.142857142857143,0,"A","Bludger"
0.2,0,0,0,0.2,0,0,"A","Bogan"
0,0.125,0,0.125,0,0,0,"A","Booze Bus"
0,0.166666666666667,0,0,0,0,0,"A","Brekky"
0,0,0,0,0,0.333333333333333,0,"A","Brolly"
0,0.133333333333333,0,0.133333333333333,0.2,0.0666666666666667,0.0666666666666667,"A","Budgie Smugglers"
0,0,0.25,0.25,0,0,0,"A","Bush"
0.111111111111111,0,0.111111111111111,0,0,0.111111111111111,0,"A","Choc A Bloc"
0,0,0.2,0,0,0,0,"A","Chook"
0,0.125,0.125,0.25,0,0,0,"A","Chrissie"
0,0.166666666666667,0,0,0,0,0,"A","Cobber"
0,0.142857142857143,0,0.142857142857143,0,0,0,"A","Coppers"
0,0.166666666666667,0,0,0,0,0,"A","Crikey"
0,0,0,0,0,0,0,"A","Crook"
0.333333333333333,0,0,0,0.333333333333333,0,0,"A","Dag"
0.25,0,0,0.25,0,0,0,"A","Daks"
0.142857142857143,0.285714285714286,0,0.142857142857143,0,0,0,"A","Deadset"
0,0.25,0,0,0,0,0,"A","Defo"
0,0.25,0,0,0,0,0,"A","Devo"
0,0,0,0,0.166666666666667,0,0,"A","Drongo"
0,0,0,0,0,0,0,"A","Durry"
0,0.25,0,0.25,0,0,0,"A","Esky"
0.1,0,0,0,0,0,0.1,"A","Fair Dinkum"
0.142857142857143,0,0,0,0,0.142857142857143,0,"A","Flat out"
0,0,0,0,0,0,0,"A","Footy"
0.25,0,0,0,0.25,0,0,"A","Gday"
0.4,0,0.2,0,0.2,0.2,0,"A","Galah"
